;Revoluciones reales [1/min];Potencia real [kW];Presión de carga [bar];Pot. teórica de carga [bar];Temp. sobr. [°C];Pos. válvula mariposa [%];Pos. válvula mariposa [%];Válv. lambda dosif. gas [];Tensión de excitación [V];Potencia reactiva [kvar];
25/06/2022 11:19:23;1500;999;2,48000001907349;2,47900009155273;44,7999992370605;100;41,2000007629395;1,5440000295639;21;198;
25/06/2022 11:19:32;1499;1002;2,48300004005432;2,48600006103516;44,7999992370605;100;41,2999992370605;1,5440000295639;21,2999992370605;205;
25/06/2022 11:19:42;1500;1001;2,48099994659424;2,48399996757507;44,7999992370605;100;41,2000007629395;1,5440000295639;21,1000003814697;207;
25/06/2022 11:19:53;1500;1002;2,48000001907349;2,48699998855591;44,9000015258789;100;41,2999992370605;1,5440000295639;21,2999992370605;203;
25/06/2022 11:20:03;1500;1000;2,48099994659424;2,48200011253357;44,9000015258789;100;41,2999992370605;1,5440000295639;21,2000007629395;215;
25/06/2022 11:20:13;1500;998;2,48099994659424;2,47699999809265;44,9000015258789;100;41,2000007629395;1,5440000295639;20,7999992370605;205;
25/06/2022 11:20:23;1500;1000;2,48200011253357;2,48200011253357;45;100;41,0999984741211;1,5440000295639;21,1000003814697;204;
25/06/2022 11:20:33;1500;1002;2,48300004005432;2,48799991607666;45;100;41,2999992370605;1,5440000295639;20,8999996185303;204;
25/06/2022 11:20:43;1498;999;2,48300004005432;2,48099994659424;45;100;41,0999984741211;1,5440000295639;21,1000003814697;201;
25/06/2022 11:20:54;1499;1001;2,48399996757507;2,48499989509583;45;100;41,0999984741211;1,5440000295639;21,2000007629395;203;
25/06/2022 11:21:03;1499;1000;2,48399996757507;2,48399996757507;45,0999984741211;100;41,2000007629395;1,5440000295639;21;202;
25/06/2022 11:21:13;1499;1002;2,49000000953674;2,48799991607666;45,0999984741211;100;41,2000007629395;1,5440000295639;20,8999996185303;190;
25/06/2022 11:21:23;1499;1001;2,48499989509583;2,48600006103516;45,0999984741211;100;41,0999984741211;1,5440000295639;21,1000003814697;202;
25/06/2022 11:21:33;1499;1001;2,48799991607666;2,48600006103516;45,0999984741211;100;41,0999984741211;1,5440000295639;21;200;
25/06/2022 11:21:43;1499;1001;2,48600006103516;2,48699998855591;45,2000007629395;100;41,2000007629395;1,5440000295639;21,1000003814697;203;
25/06/2022 11:21:53;1500;1000;2,48699998855591;2,48699998855591;45,2000007629395;100;41,2999992370605;1,5440000295639;21,2000007629395;204;
25/06/2022 11:22:03;1499;1052;2,60899996757507;2,60899996757507;45,2999992370605;100;39,5;1,5440000295639;22;206;
25/06/2022 11:22:13;1500;1138;2,79900002479553;2,81399989128113;45,5;100;38,7999992370605;1,5460000038147;23,3999996185303;231;
25/06/2022 11:22:23;1500;1217;2,95099997520447;3;45,2999992370605;100;39,4000015258789;1,55099999904633;24,6000003814697;248;
25/06/2022 11:22:33;1500;1198;2,91899991035461;2,95199990272522;45,2000007629395;100;39,2000007629395;1,55900001525879;23,8999996185303;241;
25/06/2022 11:22:43;1500;1204;2,94000005722046;2,96799993515015;45,4000015258789;100;39,0999984741211;1,56400001049042;24,1000003814697;234;
25/06/2022 11:22:53;1500;1199;2,94099998474121;2,95700001716614;45,5;100;39;1,567999958992;23,7999992370605;257;
25/06/2022 11:23:03;1499;1209;2,95799994468689;2,9760000705719;45;100;39,2000007629395;1,56900000572205;24,2999992370605;246;
25/06/2022 11:23:13;1499;1199;2,9449999332428;2,95499992370605;45;100;39,4000015258789;1,57099997997284;24,2000007629395;241;
25/06/2022 11:23:23;1499;1200;2,95099997520447;2,95600008964539;45,0999984741211;100;39,2000007629395;1,57200002670288;23,8999996185303;256;
25/06/2022 11:23:33;1499;1200;2,96099996566772;2,95700001716614;45,2999992370605;100;39,2000007629395;1,57299995422363;24,2000007629395;252;
25/06/2022 11:23:43;1499;1203;2,95600008964539;2,96300005912781;45,4000015258789;100;39,2000007629395;1,57299995422363;23,8999996185303;237;
25/06/2022 11:23:53;1500;1201;2,95000004768372;2,95900011062622;45,5;100;39;1,57299995422363;24,1000003814697;252;
25/06/2022 11:24:03;1500;1203;2,96199989318848;2,95900011062622;45;100;39,0999984741211;1,57299995422363;24,1000003814697;241;
25/06/2022 11:24:13;1498;1202;2,95600008964539;2,95499992370605;44,4000015258789;100;39,0999984741211;1,57299995422363;24,3999996185303;249;
25/06/2022 11:24:23;1500;1203;2,94799995422363;2,95700001716614;44,7000007629395;100;39,0999984741211;1,57299995422363;23,8999996185303;245;
25/06/2022 11:24:33;1500;1200;2,94899988174438;2,95700001716614;45,2000007629395;100;39,2000007629395;1,57400000095367;24;243;
25/06/2022 11:24:43;1499;1199;2,95499992370605;2,95499992370605;45,2999992370605;100;39,0999984741211;1,57400000095367;24;242;
25/06/2022 11:24:53;1500;1200;2,96399998664856;2,95900011062622;45,5;100;39,2000007629395;1,57400000095367;23,7999992370605;245;
25/06/2022 11:25:03;1501;1201;2,96399998664856;2,96000003814697;45,2000007629395;100;39,2999992370605;1,57299995422363;24,2999992370605;243;
25/06/2022 11:25:13;1500;1199;2,95199990272522;2,95000004768372;45;100;39,2000007629395;1,57400000095367;23,6000003814697;241;
25/06/2022 11:25:23;1501;1202;2,9539999961853;2,96000003814697;45,0999984741211;100;39,2999992370605;1,57400000095367;24,7000007629395;237;
25/06/2022 11:25:33;1501;1202;2,96199989318848;2,96199989318848;45,2999992370605;100;39,2000007629395;1,57400000095367;24,1000003814697;257;
